PLAYER NAME,FEDEX CUP POINTS,AVERAGE DRIVING DISTANCE,Strokes Gained Off the Tee,Strokes gained tee to green,Strokes gained approach to the green,Strokes gained around the green,Strokes gained putting,Strokes gained total,BIRDIE TO BOGEY RATIO,birdie or better % from the rough,Scrambling average distance to the hole,World Ranking,Scoring Average,Percent of Available Purse Won,Official Money Won,,,,,
Hideki Matsuyama,1822,302.9,0.719,1.584,0.435,0.431,-0.463,1.121,2.12,13.79,6.67,4,69.717,5.46,4762956 ,,,,,
Hudson Swafford,800,304.8,0.735,0.407,0.17,-0.497,0.29,0.697,1.56,11.71,9.17,76,70.558,1.96,1758355 ,,,,,
Ian Poulter,155,282.5,-0.165,0.271,0.374,0.483,-0.171,0.52,1.46,7.58,6.83,190,70.624,0.58,317009 ,,,,,
J.B. Holmes,205,300.3,0.328,0.967,0.346,0.293,0.214,1.181,1.29,21,6.42,42,71.002,0.63,460079 ,,,,,
J.J. Henry,155,289.4,-0.028,-0.315,-0.066,-0.177,-0.254,-0.525,1.13,10.77,9.17,404,71.774,0.34,318262 ,,,,,
J.J. Spaun,412,290.8,0.5,0.089,0.038,-0.357,0.376,0.557,1.61,12.93,9.58,103,70.725,0.91,912333 ,,,,,
J.T. Poston,231,290.2,0.038,0.329,0.265,0.026,-0.158,0.171,1.54,16.33,8.67,201,70.933,0.54,457704 ,,,,,
James Hahn,253,291.6,0.166,0.043,-0.047,-0.132,0.068,0.055,1.34,18.26,8.58,80,71.351,0.57,555267 ,,,,,
Jamie Lovemark,367,301.3,0.228,0.597,0.257,0.112,0.057,0.654,1.52,19.14,9.00,98,70.679,0.82,762943 ,,,,,
Jason Bohn,59,276.5,-0.487,-0.625,0.122,-0.125,0.045,-0.444,1.15,17.27,8.25,332,71.747,0.15,126430 ,,,,,
Jason Day,250,300.2,0.337,0.572,-0.304,0.539,-0.218,0.355,1.32,16,7.33,3,71.172,1.19,657170 ,,,,,
Jason Dufner,379,289.1,0.332,0.648,0.344,0.091,0.416,1.183,1.58,23.17,7.58,63,70.302,1.14,836068 ,,,,,
Jason Kokrak,195,303.5,0.536,0.221,0.142,-0.309,-0.713,-0.343,1.21,17.7,8.67,117,71.355,0.44,399324 ,,,,,
Jhonattan Vegas,433,297.4,0.302,0.817,0.405,0.11,-0.3,0.517,1.49,18.58,7.75,60,71.102,1.04,1014531 ,,,,,
Jim Furyk,148,268.3,-0.322,-0.212,0.306,0.041,0.29,0.315,1.07,5.56,8.58,65,70.863,0.54,377613 ,,,,,
Jim Herman,409,289.7,0.43,0.817,0.53,-0.417,-0.125,0.417,1.36,18.56,9.33,79,70.93,0.93,878152 ,,,,,
Jimmy Walker,291,294.3,-0.499,0.115,0.621,-0.007,0.115,0.229,1.1,20.54,8.17,25,71.672,0.82,755314 ,,,,,
John Huh,304,287.5,0.105,0.367,0.287,-0.037,0.178,0.533,1.61,16.55,6.92,199,70.778,0.62,619577 ,,,,,
John Peterson,132,288.2,0.463,0.467,0.242,-0.324,-0.667,-0.285,1.6,14,9.50,534,71.142,0.5,271027 ,,,,,
John Senden,55,284.3,0.085,-0.172,-0.082,-0.264,-0.329,-0.59,1.17,16.33,8.08,215,72.11,0.13,104044 ,,,,,
Johnson Wagner,162,284,-0.234,-0.205,0.302,-0.172,-0.038,-0.142,1.33,12.15,9.75,224,71.597,0.45,346761 ,,,,,
Jon Curran,60,277,-0.584,-0.229,0.434,-0.08,-0.263,-0.492,1.27,13.92,8.50,179,71.652,0.18,128091 ,,,,,
Jon Rahm,1361,302.7,1.05,1.944,0.832,0.062,0.352,2.295,2.09,25,6.00,13,69.677,4.36,3596244 ,,,,,
Jonas Blixt,106,287.6,-0.25,-0.766,-0.74,0.035,0.637,-0.318,1.26,9.17,10.00,252,71.466,0.23,199344 ,,,,,
Jonathan Randolph,28,282.2,0.295,-0.606,-0.637,-0.264,-0.459,-1.065,1.14,16.33,8.75,436,72.5,0.1,48044 ,,,,,
Jordan Spieth,1104,292.2,-0.02,1.349,1.2,0.169,0.449,1.799,2.47,22.09,7.17,5,69.425,3.95,2747333 ,,,,,
Julian Etulain,58,290.6,-0.231,-0.943,-0.297,-0.415,0.128,-0.814,1.28,13.04,8.42,416,71.988,0.21,112593 ,,,,,
Justin Rose,980,301.3,0.791,1.462,0.281,0.389,0.208,1.669,1.75,20.79,7.50,8,69.482,4.38,2729980 ,,,,,
Justin Thomas,1793,306.5,0.635,1.594,0.716,0.242,0.377,1.97,2.16,23.81,7.08,11,69.497,4.76,4308994 ,,,,,
K.J. Choi,53,274.7,-0.363,-0.36,-0.377,0.251,-0.074,-0.563,1,13.64,8.08,203,72.299,0.16,124820 ,,,,,
Keegan Bradley,508,296.6,0.513,0.905,0.393,-0.092,-0.177,0.636,1.66,13.18,7.67,101,70.521,1.21,1132907 ,,,,,
Kelly Kraft,397,289.4,-0.145,-0.139,0.254,-0.466,-0.451,-0.808,1.1,14.78,10.00,178,71.801,1.03,935427 ,,,,,
Ken Duke,61,273.3,-0.227,-0.527,-0.39,-0.005,-0.304,-0.925,1.05,13,8.00,362,72.279,0.15,130471 ,,,,,
Kevin Chappell,177,298.6,0.204,0.257,-0.009,0.061,-1.012,-0.755,1.04,12.82,7.50,41,71.88,0.66,629207 ,,,,,
Kevin Kisner,694,284.6,0.361,1.576,0.744,0.429,0.391,1.925,1.52,22.67,6.67,38,70.433,1.9,1759991 ,,,,,
Kevin Na,389,284.9,-0.266,0.562,0.411,0.442,0.013,0.602,1.39,28.57,6.67,55,70.976,0.89,937402 ,,,,,
Kevin Streelman,272,290.7,0.454,0.476,0.06,-0.038,-0.445,0.031,1.36,14.15,7.83,133,71.22,0.73,625438 ,,,,,
Kevin Tway,55,306.5,0.454,-0.334,-0.652,-0.136,0.031,-0.303,1.26,14.14,8.92,432,72.087,0.18,115860 ,,,,,
Kyle Reifers,83,286.7,-0.038,0.133,0.085,0.014,-0.729,-0.668,1.05,11.01,8.08,192,72.037,0.15,158501 ,,,,,
Kyle Stanley,418,295.7,0.801,1.739,0.785,0.003,-0.405,1.183,1.76,16.1,7.83,169,70.086,1.04,899442 ,,,,,
Louis Oosthuizen,350,295.5,0.55,1.105,0.243,0.312,0.078,1.183,1.3,11.76,7.58,32,70.716,1.26,853775 ,,,,,
Lucas Glover,506,295.5,0.606,1.584,0.803,0.112,-0.225,1.296,1.89,14.29,7.83,120,69.9,1.52,1168828 ,,,,,
Luke Donald,424,275.4,-0.82,-0.559,-0.016,0.543,0.931,0.638,1.39,11.36,6.50,69,70.399,1.56,937255 ,,,,,
Luke List,644,311.8,0.565,1.251,0.456,0.188,0.124,1.334,1.96,20.42,8.50,115,70.012,1.48,1478186 ,,,,,
Mackenzie Hughes,775,289.2,-0.081,-0.384,-0.319,0.016,0.555,0.171,1.31,15.68,8.83,118,71.32,1.51,1680103 ,,,,,
Marc Leishman,869,297,0.348,0.524,0.139,0.21,0.765,1.462,1.77,14.58,7.50,29,69.907,2.87,2342548 ,,,,,
Mark Anderson,51,278.9,-0.142,-0.484,-0.189,-0.083,-0.013,-0.428,1.29,15.63,8.33,387,71.893,0.19,98424 ,,,,,
Mark Hubbard,27,275.6,-0.869,-1.233,-0.385,-0.07,-0.227,-1.551,0.94,10.85,8.58,507,72.825,0.1,90118 ,,,,,
Mark Wilson,51,273.7,-0.362,0.81,1.088,0.084,-0.02,0.791,1.37,19.15,8.50,609,71.488,0.23,88222 ,,,,,
Martin Flores,170,294.6,-0.484,-0.416,0.414,-0.345,0.275,-0.14,1.61,20.49,7.75,230,71.236,0.45,326231 ,,,,,
Martin Laird,423,294.3,0.326,0.94,0.413,-0.023,0.344,1.06,1.72,10.81,7.58,110,70.429,1.32,987104 ,,,,,
